,Name,count,QMV($),,,,,,,,,,
4,Suncor Energy Inc.,72,71234213829,,,,,,,,,,
0,Enbridge Inc.,142,58413570661,,,,,,,,,,
5,TransCanada Corporation,70,55280043659,,,,,,,,,,
6,BCE Inc.,65,52824989208,,,,QMV,,,1.29E+10,23.05357143,,
12,Canadian Natural Resources Limited,33,50119990457,,,Low,High,total,,,,,
32,Manulife Financial Corporation,9,49238201922,,Low,34,5,39,,,,,
3,Imperial Oil Limited,74,38981078516,Lobbying,High,6,11,17,,,,,
10,Sun Life Financial Inc.,39,33485882517,,total,40,16,56,,,,,
22,Loblaw Companies Limited,17,28392131684,,,,,,,,,,
1,Rogers Communications Inc.,79,26898402795,,,,,,,,,,
2,TELUS Corporation,76,24814372104,,,,,,,,,,
20,Barrick Gold Corporation,19,23483433441,,,,,,,,,,
18,Magna International Inc.,20,20865735881,,,,,,,,,,
7,Teck Resources Limited,61,19607564045,,,,,,,,,,
8,Cenovus Energy Inc.,55,17305451655,,,,,,,,,,
24,Pembina Pipeline Corporation,16,17123015385,,,,,,,,,,
47,Intact Financial Corporation,2,12619636980,,,,,,,,,,
23,Agnico Eagle Mines Limited,16,12434628828,,,,,,,,,,
35,Seven Generations Energy Ltd.,8,10708593123,,,,,,,,,,
30,Inter Pipeline Ltd.,9,9819678912,,,,,,,,,,
34,Emera Incorporated,8,9596282082,,,,,,,,,,
25,AltaGas Ltd.,16,6277097778,,,,,,,,,,
51,BlackBerry Limited,1,5446127187,,,,,,,,,,
36,CAE Inc.,8,5319012655,,,,,,,,,,
48,Methanex Corporation,2,5310742501,,,,,,,,,,
11,Bombardier Inc.,35,4531289525,,,,,,,,,,
42,Tahoe Resources Inc.,4,4015885091,,,,,,,,,,
16,Maple Leaf Foods Inc.,27,3941792764,,,,,,,,,,
46,TMX Group Limited,2,3718953130,,,,,,,,,,
9,Air Canada,44,3682820250,,,,,,,,,,
29,Canadian Western Bank,10,2810374979,,,,,,,,,,
19,Capital Power Corporation,19,2748583232,,,,,,,,,,
27,TransAlta Corporation,12,2676220971,,,,,,,,,,
39,Parkland Fuel Corporation,5,2675304914,,,,,,,,,,
43,Eldorado Gold Corporation,4,2651372396,,,,,,,,,,
31,"MacDonald, Dettwiler and Associates Ltd.",9,2555032449,,,,,,,,,,
17,WestJet Airlines Ltd.,23,2503869290,,,,,,,,,,
14,Corus Entertainment Inc.,32,2364627925,,,,,,,,,,
38,Alamos Gold Inc.,6,2283231424,,,,,,,,,,
33,Home Capital Group Inc.,9,1917004463,,,,,,,,,,
28,Innergex Renewable Energy Inc.,11,1687540522,,,,,,,,,,
53,ProMetic Life Sciences Inc.,1,1507966486,,,,,,,,,,
15,Canopy Growth Corporation,30,1371364022,,,,,,,,,,
40,Nevsun Resources Ltd.,5,1297438106,,,,,,,,,,
44,TMAC Resources Inc.,3,1294572661,,,,,,,,,,
21,Magellan Aerospace Corporation,17,1112956099,,,,,,,,,,
52,DHX Media Ltd.,1,922669186.2,,,,,,,,,,
26,Cogeco Inc.,13,822577981.4,,,,,,,,,,
37,Aurora Cannabis Inc.,7,614891668.4,,,,,,,,,,
13,Transat A.T. Inc.,33,209360057.2,,0.514230071,,,,,,,,
50,Westport Fuel Systems Inc.,1,185955011.7,,,min,Q1,median,Q3,max,mean,standard deviation,count
49,Hydrogenics Corporation,2,82169488,,Lobbying,1,4,11.5,32.25,142,23.05357143,27.87401504,56
54,exactEarth Ltd.,1,33920644.42,,QMV,3986705.25,1473815870,3830372947,17880979753,71234213829,12890349890,17895810226,56
45,Encanto Potash Corp.,3,30857192.73,,,,,,,,,,
41,Naikun Wind Energy Group Inc.,4,5127376.32,,,,,,,,,,
55,Jet Metal Corp.,1,3986705.25,,,,,,,,,,
